Player▼,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK
Kurt Zouma,DF,Chelsea,24,28,25,"2,344",26,0,0,0,0
Richairo Živković,FW,Sheffield Utd,22,5,0,112,1.2,0,0,0,0
Oleksandr Zinchenko,DF,Manchester City,22,19,13,"1,276",14.2,0,0,0,0
Christoph Zimmermann,DF,Norwich City,26,17,16,"1,430",15.9,0,1,0,0
Wilfried Zaha,"MF,FW",Crystal Palace,26,38,37,"3,280",36.4,4,3,4,0
Pablo Zabaleta,DF,West Ham,34,10,6,592,6.6,0,0,0,0
Ashley Young,DF,Manchester Utd,34,12,10,955,10.6,0,0,0,0
Maya Yoshida,DF,Southampton,30,8,6,560,6.2,0,0,0,0
DeAndre Yedlin,DF,Newcastle Utd,26,16,10,938,10.4,1,0,1,0
Andriy Yarmolenko,"MF,FW",West Ham,29,23,10,991,11,5,1,5,0
Granit Xhaka,MF,Arsenal,26,31,30,"2,586",28.7,1,2,1,0
Chris Wood,FW,Burnley,27,32,29,"2,437",27.1,14,1,13,1
Harry Winks,MF,Tottenham,23,31,26,"2,221",24.7,0,0,0,0
Harry Wilson,"MF,FW",Bournemouth,22,31,20,"1,646",18.3,7,0,7,0
Callum Wilson,FW,Bournemouth,27,35,32,"2,908",32.3,8,1,8,0
Jack Wilshere,MF,West Ham,27,8,2,215,2.4,0,0,0,0
Joe Willock,"MF,FW",Arsenal,19,29,8,857,9.5,1,1,1,0
Willian,FW,Chelsea,30,36,29,"2,600",28.9,9,7,5,4
Neco Williams,DF,Liverpool,18,6,3,230,2.6,0,0,0,0
Brandon Williams,DF,Manchester Utd,18,17,11,"1,006",11.2,1,0,1,0
Jetro Willems,DF,Newcastle Utd,25,19,18,"1,493",16.6,2,2,2,0
Georginio Wijnaldum,MF,Liverpool,28,37,35,"2,935",32.6,4,0,4,0
Connor Wickham,"FW,MF",Crystal Palace,26,6,0,96,1.1,1,1,1,0
Ashley Westwood,MF,Burnley,29,35,35,"3,150",35,2,6,2,0
Danny Welbeck,"FW,MF",Watford,28,18,8,822,9.1,2,0,2,0
Adam Webster,DF,Brighton,24,31,31,"2,668",29.6,3,1,3,0
Kelland Watts,DF,Newcastle Utd,19,1,0,17,0.2,0,0,0,0
Joel Ward,DF,Crystal Palace,29,29,27,"2,382",26.5,0,0,0,0
James Ward-Prowse,"MF,DF",Southampton,24,38,38,"3,420",38,5,3,4,1
Victor Wanyama,MF,Tottenham,28,2,0,25,0.3,0,0,0,0
Aaron Wan-Bissaka,DF,Manchester Utd,21,35,34,"3,070",34.1,0,4,0,0
Kyle Walker,DF,Manchester City,29,29,28,"2,392",26.6,1,4,1,0
Kyle Walker-Peters,DF,Southampton,22,10,7,703,7.8,0,0,0,0
Kyle Walker-Peters,DF,Tottenham,22,3,3,241,2.7,0,0,0,0
Theo Walcott,"MF,FW",Everton,30,25,17,"1,287",14.3,2,3,2,0
Matěj Vydra,FW,Burnley,27,19,7,819,9.1,2,1,2,0
Mario Vrančić,MF,Norwich City,30,20,6,636,7.1,1,0,1,0
Jake Vokins,DF,Southampton,19,1,1,90,1,0,0,0,0
Rúben Vinagre,DF,Wolves,20,16,6,652,7.2,0,0,0,0
Jannik Vestergaard,DF,Southampton,26,19,17,"1,497",16.6,1,0,1,0
Jan Vertonghen,DF,Tottenham,32,23,19,"1,645",18.3,1,1,1,0
Indiana Vassilev,"FW,MF",Aston Villa,18,4,0,51,0.6,0,0,0,0
Jamie Vardy,FW,Leicester City,32,35,34,"3,033",33.7,23,5,19,4
Jesús Vallejo,DF,Wolves,22,2,1,163,1.8,0,0,0,0
Yan Valery,DF,Southampton,20,11,10,779,8.7,0,0,0,0
Axel Tuanzebe,DF,Manchester Utd,21,5,2,189,2.1,0,0,0,0
Tom Trybull,MF,Norwich City,26,16,14,"1,130",12.6,0,0,0,0
Leandro Trossard,"FW,MF",Brighton,24,31,22,"2,011",22.3,5,3,5,0
Trézéguet,"FW,MF",Aston Villa,24,34,20,"1,950",21.7,6,1,6,0
Mark Travers,GK,Bournemouth,20,1,1,90,1,0,0,0,0
Adama Traoré,"FW,MF",Wolves,23,37,27,"2,605",28.9,4,9,4,0
Andros Townsend,MF,Crystal Palace,28,24,14,"1,294",14.4,1,1,1,0
Cenk Tosun,FW,Everton,28,5,2,291,3.2,1,0,1,0
Cenk Tosun,FW,Crystal Palace,28,5,2,177,2,1,0,1,0
Lucas Torreira,MF,Arsenal,23,29,17,"1,512",16.8,1,1,1,0
Fikayo Tomori,DF,Chelsea,21,15,15,"1,291",14.3,1,0,1,0
James Tomkins,DF,Crystal Palace,30,18,18,"1,582",17.6,1,1,1,0
Kieran Tierney,DF,Arsenal,22,15,12,989,11,1,1,1,0
Youri Tielemans,MF,Leicester City,22,37,32,"2,828",31.4,3,6,3,0
Max Thompson,FW,Burnley,17,1,0,3,0,0,0,0,0
Luke Thomas,DF,Leicester City,18,3,3,267,3,0,1,0,0
Jordan Thomas,FW,Norwich City,18,1,0,1,0,0,0,0,0
Alexander Tettey,"MF,DF",Norwich City,33,30,28,"2,338",26,1,1,1,0
Nathan Tella,FW,Southampton,20,1,0,3,0,0,0,0,0
Neil Taylor,DF,Aston Villa,30,14,11,"1,091",12.1,0,0,0,0
Charlie Taylor,DF,Burnley,25,24,22,"1,945",21.6,0,1,0,0
James Tarkowski,DF,Burnley,26,38,38,"3,420",38,2,2,2,0
Matt Targett,DF,Aston Villa,23,28,27,"2,291",25.5,1,2,1,0
Japhet Tanganga,DF,Tottenham,20,6,6,525,5.8,0,0,0,0
Sam Surridge,"FW,MF",Bournemouth,21,4,0,27,0.3,0,0,0,0
Andrew Surman,MF,Bournemouth,32,5,2,235,2.6,0,0,0,0
Ki Sung-yueng,MF,Newcastle Utd,30,3,1,137,1.5,0,0,0,0
Isaac Success,"FW,MF",Watford,23,5,0,70,0.8,0,0,0,0
John Stones,DF,Manchester City,25,16,12,"1,122",12.5,0,0,0,0
Marco Stiepermann,MF,Norwich City,28,24,14,"1,180",13.1,0,0,0,0
Enda Stevens,DF,Sheffield Utd,29,38,38,"3,345",37.2,2,4,2,0
Raheem Sterling,FW,Manchester City,24,33,30,"2,651",29.5,20,1,20,0
Jack Stephens,DF,Southampton,25,28,27,"2,451",27.2,1,3,1,0
Dale Stephens,MF,Brighton,30,33,28,"2,530",28.1,0,1,0,0
Jed Steer,GK,Aston Villa,26,1,1,7,0.1,0,0,0,0
Junior Stanislas,"MF,DF",Bournemouth,29,15,7,712,7.9,3,0,2,1
Jack Stacey,DF,Bournemouth,23,19,17,"1,549",17.2,0,2,0,0
Dennis Srbeny,"MF,FW",Norwich City,25,8,0,47,0.5,1,0,1,0
Çağlar Söyüncü,DF,Leicester City,23,34,34,"3,036",33.7,1,1,1,0
Tomáš Souček,MF,West Ham,24,13,12,"1,040",11.6,3,0,3,0
Dominic Solanke,"FW,MF",Bournemouth,21,32,17,"1,651",18.3,3,1,3,0
Cédric Soares,DF,Southampton,27,16,16,"1,306",14.5,0,1,0,0
Cédric Soares,DF,Arsenal,27,5,3,249,2.8,1,0,1,0
Robert Snodgrass,"MF,FW",West Ham,31,24,17,"1,509",16.8,5,5,5,0
Adam Smith,DF,Bournemouth,28,24,24,"2,055",22.8,0,1,0,0
Emile Smith-Rowe,MF,Arsenal,19,2,1,97,1.1,0,0,0,0
William Smallbone,MF,Southampton,19,9,4,393,4.4,0,2,0,0
Oliver Skipp,"MF,DF",Tottenham,18,7,1,77,0.9,0,0,0,0
Moussa Sissoko,MF,Tottenham,29,29,28,"2,452",27.2,2,1,2,0
Jack Simpson,DF,Bournemouth,22,4,1,241,2.7,0,0,0,0
